run_id,timestamp_ms,raw_m,filtered_m,residual_m,label
1,416178,5.17,5.17,0.00,0
1,416370,4.79,4.85,-0.06,0
1,416442,4.79,4.82,-0.03,0
1,416584,5.15,4.96,0.19,0
1,416766,5.18,5.05,0.13,0
1,416777,4.75,4.93,-0.18,0
1,416979,5.02,4.97,0.05,0
1,417092,4.82,4.91,-0.09,0
1,417164,4.82,4.87,-0.05,0
1,417281,4.82,4.85,-0.03,0
1,417413,4.83,4.84,-0.01,0
1,417580,4.89,4.86,0.03,0
1,417651,4.89,4.87,0.02,0
1,417749,4.87,4.87,-0.00,0
1,417895,4.93,4.89,0.04,0
1,418063,4.87,4.88,-0.01,0
1,418099,5.04,4.95,0.09,0
1,418277,5.08,5.00,0.08,0
1,418399,4.95,4.98,-0.03,0
1,418471,4.90,4.95,-0.05,0
1,418637,5.03,4.98,0.05,0
1,418710,5.02,5.00,0.02,0
1,418902,5.19,5.07,0.12,0
1,418998,5.22,5.13,0.09,0
1,419095,5.27,5.18,0.09,0
1,419238,5.36,5.25,0.11,0
1,419320,5.42,5.32,0.10,0
1,419527,5.48,5.38,0.10,0
1,419548,5.52,5.44,0.08,0
1,419681,5.58,5.49,0.09,0
1,419862,5.46,5.48,-0.02,0
1,419920,5.41,5.45,-0.04,0
1,420127,5.46,5.46,0.00,0
1,420224,5.49,5.47,0.02,0
1,420341,5.47,5.47,0.00,0
1,420413,5.49,5.48,0.01,0
1,420580,5.40,5.45,-0.05,0
1,420712,5.49,5.46,0.03,0
1,420929,5.60,5.52,0.08,0
1,420992,5.56,5.53,0.03,0
1,423403,6.11,5.76,0.35,0
1,424386,3.17,4.75,-1.58,0
1,424564,2.92,4.03,-1.11,0
1,424601,2.86,3.58,-0.72,0
1,424748,2.84,3.29,-0.45,0
1,424855,2.82,3.11,-0.29,0
1,425552,2.46,2.85,-0.39,0
1,425764,2.22,2.61,-0.39,0
1,425876,2.15,2.43,-0.28,0
1,425983,1.75,2.16,-0.41,0
1,426064,1.93,2.07,-0.14,0
1,426172,1.98,2.04,-0.06,0
1,426319,2.17,2.09,0.08,0
1,426461,2.00,2.05,-0.05,0
1,426593,1.58,1.87,-0.29,0
1,426630,1.60,1.76,-0.16,0
1,426847,1.31,1.59,-0.28,0
1,426944,1.31,1.48,-0.17,0
