run_id,timestamp_ms,raw_m,filtered_m,residual_m,label
1,73240,4.36,4.36,0.00,2
1,73432,4.57,4.54,0.03,2
1,73504,4.57,4.55,0.02,2
1,73827,4.81,4.67,0.14,2
1,73839,4.87,4.75,0.12,2
1,74041,4.98,4.84,0.14,2
1,74153,5.02,4.91,0.11,2
1,74477,13.31,8.20,5.11,2
1,74644,13.28,10.18,3.10,2
1,74716,13.20,11.36,1.84,2
1,74813,13.62,12.24,1.38,2
1,75121,13.38,12.69,0.69,2
1,75158,13.51,13.01,0.50,2
1,75461,13.58,13.23,0.35,2
1,75533,13.52,13.34,0.18,2
1,75771,13.52,13.41,0.11,2
1,75963,5.35,10.27,-4.92,2
1,76741,4.75,8.11,-3.36,2
1,76923,4.67,6.77,-2.10,2
1,76985,5.02,6.09,-1.07,2
1,77187,4.62,5.51,-0.89,2
1,77284,4.50,5.12,-0.62,2
1,77401,4.44,4.85,-0.41,2
1,77473,4.52,4.72,-0.20,2
1,77645,4.38,4.59,-0.21,2
1,77777,4.30,4.48,-0.18,2
1,77849,4.29,4.40,-0.11,2
1,77991,4.20,4.32,-0.12,2
1,78053,4.07,4.22,-0.15,2
1,78386,3.87,4.09,-0.22,2
1,78448,3.80,3.97,-0.17,2
1,78520,3.81,3.91,-0.10,2
1,78712,3.65,3.81,-0.16,2
1,78769,3.66,3.75,-0.09,2
1,78891,3.53,3.66,-0.13,2
1,79169,3.37,3.55,-0.18,2
1,79336,3.15,3.39,-0.24,2
1,79393,3.12,3.29,-0.17,2
1,79540,2.98,3.17,-0.19,2
1,79707,2.86,3.05,-0.19,2
1,79754,2.82,2.96,-0.14,2
1,79911,2.62,2.83,-0.21,2
1,79993,2.61,2.74,-0.13,2
1,80185,2.48,2.64,-0.16,2
1,80247,2.47,2.57,-0.10,2
1,80329,2.44,2.52,-0.08,2
1,80461,2.39,2.47,-0.08,2
1,80653,2.30,2.40,-0.10,2
1,80715,2.31,2.37,-0.06,2
1,80797,2.26,2.33,-0.07,2
1,81004,2.19,2.27,-0.08,2
1,81101,2.12,2.21,-0.09,2
1,81268,2.05,2.15,-0.10,2
1,81305,2.02,2.10,-0.08,2
1,81447,1.93,2.03,-0.10,2
1,81629,1.84,1.96,-0.12,2
1,81661,1.81,1.90,-0.09,2
1,81808,9.91,5.03,4.88,2
1,81915,9.90,6.93,2.97,2
1,82097,9.83,8.06,1.77,2
1,82119,9.80,8.74,1.06,2
1,82251,9.64,9.09,0.55,2
1,82383,9.59,9.29,0.30,2
1,82490,9.82,9.49,0.33,2
1,82612,9.81,9.62,0.19,2
1,82829,9.61,9.61,-0.00,2
1,82936,1.75,6.54,-4.79,2
1,83043,1.76,4.68,-2.92,2
1,83125,1.69,3.51,-1.82,2
1,83237,1.76,2.83,-1.07,2
1,83379,1.71,2.39,-0.68,2
1,83521,1.67,2.11,-0.44,2
1,83653,1.68,1.94,-0.26,2
1,83690,1.69,1.84,-0.15,2
1,83907,1.83,1.84,-0.01,2
1,84004,1.69,1.78,-0.09,2
1,84051,1.79,1.78,0.01,2
1,84193,1.66,1.74,-0.08,2
1,84340,1.66,1.71,-0.05,2
1,84412,1.61,1.67,-0.06,2
1,84614,1.52,1.61,-0.09,2
2,98725,3.90,3.90,0.00,2
2,98917,4.11,4.08,0.03,2
2,99135,4.35,4.22,0.13,2
2,99312,4.64,4.40,0.24,2
2,99324,4.69,4.52,0.17,2
2,99531,4.87,4.66,0.21,2
2,99638,5.03,4.80,0.23,2
2,99710,5.15,4.94,0.21,2
2,99832,5.30,5.08,0.22,2
2,99964,5.35,5.19,0.16,2
2,100131,5.52,5.32,0.20,2
2,100203,5.58,5.42,0.16,2
2,100300,5.63,5.50,0.13,2
2,100442,5.72,5.59,0.13,2
2,100609,5.86,5.69,0.17,2
2,100646,5.92,5.78,0.14,2
2,100828,5.95,5.85,0.10,2
2,100945,6.05,5.93,0.12,2
2,101017,6.09,5.99,0.10,2
2,101184,6.20,6.07,0.13,2
2,101256,6.21,6.13,0.08,2
2,101448,6.37,6.22,0.15,2
2,101787,6.48,6.32,0.16,2
2,102075,6.63,6.44,0.19,2
2,102097,6.63,6.52,0.11,2
2,103478,6.93,6.68,0.25,2
2,103540,14.92,9.90,5.02,2
2,103742,14.76,11.79,2.97,2
2,103874,14.42,12.82,1.60,2
2,103936,14.54,13.49,1.05,2
2,104008,14.54,13.90,0.64,2
2,104200,14.23,14.03,0.20,2
2,104257,14.36,14.16,0.20,2
2,104379,14.29,14.21,0.08,2
2,104496,13.97,14.12,-0.15,2
2,104653,5.81,10.87,-5.06,2
2,104820,5.66,8.84,-3.18,2
2,104882,5.57,7.56,-1.99,2
2,105024,5.37,6.71,-1.34,2
2,105196,5.23,6.13,-0.90,2
2,105243,5.19,5.76,-0.57,2
2,105400,5.02,5.47,-0.45,2
2,105482,4.95,5.27,-0.32,2
2,105674,4.79,5.08,-0.29,2
2,105736,4.72,4.94,-0.22,2
2,105818,4.61,4.81,-0.20,2
2,105950,4.41,4.65,-0.24,2
2,106142,4.14,4.45,-0.31,2
2,106204,4.06,4.30,-0.24,2
2,106286,3.91,4.15,-0.24,2
2,106488,3.70,3.97,-0.27,2
2,106585,3.61,3.83,-0.22,2
2,106752,3.43,3.67,-0.24,2
2,106789,3.43,3.58,-0.15,2
2,106936,3.25,3.45,-0.20,2
2,107113,3.05,3.29,-0.24,2
2,107150,3.00,3.18,-0.18,2
2,107292,2.87,3.06,-0.19,2
2,107404,2.74,2.93,-0.19,2
2,107581,2.61,2.81,-0.20,2
2,107608,2.63,2.74,-0.11,2
2,107740,2.63,2.70,-0.07,2
2,107872,2.62,2.67,-0.05,2
2,107979,2.58,2.63,-0.05,2
2,108096,2.61,2.62,-0.01,2
2,108313,2.66,2.64,0.02,2
2,108420,2.67,2.65,0.02,2
2,108532,2.72,2.68,0.04,2
2,108614,2.80,2.73,0.07,2
2,108721,2.83,2.77,0.06,2
2,108868,2.82,2.79,0.03,2
2,109010,2.90,2.83,0.07,2
2,109142,2.97,2.89,0.08,2
2,109179,3.00,2.93,0.07,2
2,109396,3.10,3.00,0.10,2
2,109488,3.17,3.06,0.11,2
2,109540,11.07,6.19,4.88,2
2,109682,11.44,8.24,3.20,2
2,109900,11.64,9.57,2.07,2
2,110102,11.75,10.42,1.33,2
2,110799,12.03,11.05,0.98,2
2,110896,12.25,11.52,0.73,2
2,111038,12.34,11.84,0.50,2
2,111135,12.55,12.12,0.43,2
2,111242,12.61,12.31,0.30,2
2,111399,4.70,9.34,-4.64,2
2,111471,4.74,7.54,-2.80,2
2,111673,4.88,6.50,-1.62,2
2,111795,4.94,5.89,-0.95,2
2,111852,5.02,5.55,-0.53,2
2,111964,5.07,5.36,-0.29,2
2,112096,5.17,5.29,-0.12,2
2,112213,5.28,5.29,-0.01,2
2,112360,5.40,5.33,0.07,2
2,112442,5.47,5.38,0.09,2
2,112539,5.54,5.45,0.09,2
2,112756,5.63,5.52,0.11,2
2,112813,5.66,5.57,0.09,2
2,112910,5.77,5.65,0.12,2
2,113017,5.80,5.71,0.09,2
2,113209,5.97,5.81,0.16,2
2,113256,5.99,5.88,0.11,2
2,113438,6.07,5.95,0.12,2
